fecha;temperatura;humedad;presion_atm;dd;viento;sensacion_termica;banda
2023-07-07;13.183333333333332;67.66666666666667;1016.5500000000001;206.66666666666666;7.666666666666667;13.183333333333332;valle
2023-07-08;12.166666666666666;72.33333333333333;1014.1;210.0;4.166666666666667;12.166666666666666;valle
2023-07-09;14.4;90.66666666666667;1013.3666666666667;100.0;6.166666666666667;14.4;valle
2023-07-10;13.916666666666666;93.33333333333333;1015.9666666666667;193.33333333333334;7.0;13.916666666666666;valle
2023-07-11;10.466666666666667;96.83333333333333;1017.1333333333333;188.33333333333334;7.666666666666667;10.466666666666667;valle
2023-07-12;8.283333333333333;95.33333333333333;1015.6;173.33333333333334;8.666666666666666;8.283333333333333;valle
2023-07-13;5.183333333333334;90.16666666666667;1024.6333333333334;198.33333333333334;7.166666666666667;5.183333333333334;valle
2023-07-14;5.75;81.83333333333333;1023.75;45.0;6.666666666666667;5.75;valle
2023-07-15;7.05;77.16666666666667;1016.5333333333333;185.0;6.5;7.05;valle
2023-07-16;8.733333333333333;76.5;1022.6666666666666;200.0;4.833333333333333;8.733333333333333;valle
2023-07-17;6.766666666666667;79.33333333333333;1027.0666666666666;130.0;6.333333333333333;6.766666666666667;valle
2023-07-18;7.8;64.16666666666667;1028.1;36.666666666666664;5.0;7.8;valle
2023-07-19;7.966666666666666;62.166666666666664;1026.45;193.33333333333334;5.333333333333333;7.966666666666666;valle
2023-07-20;8.983333333333333;54.166666666666664;1019.1833333333334;45.0;6.833333333333333;8.983333333333333;valle
2023-07-21;11.283333333333333;68.5;1006.25;115.0;4.5;11.283333333333333;valle
2023-07-22;15.466666666666667;64.5;1007.5500000000001;180.0;7.0;15.466666666666667;valle
2023-07-23;11.35;65.16666666666667;1019.3333333333334;238.33333333333334;6.0;11.35;valle
2023-07-24;10.666666666666666;60.333333333333336;1025.8333333333333;193.33333333333334;6.5;10.666666666666666;valle
2023-07-25;7.366666666666667;78.83333333333333;1022.5500000000001;215.0;3.6666666666666665;7.366666666666667;valle
2023-07-26;8.733333333333333;85.33333333333333;1018.3333333333334;216.66666666666666;3.6666666666666665;8.733333333333333;valle
2023-07-27;9.133333333333333;65.83333333333333;1022.6833333333334;241.66666666666666;3.0;9.133333333333333;valle
2023-07-28;11.033333333333333;50.0;1022.3333333333334;205.0;4.333333333333333;11.033333333333333;valle
2023-07-29;12.166666666666666;61.333333333333336;1020.8000000000001;235.0;5.833333333333333;12.166666666666666;valle
2023-07-30;14.5;58.833333333333336;1013.1;198.33333333333334;4.666666666666667;14.5;valle
2023-07-31;14.65;74.33333333333333;1018.8166666666666;281.6666666666667;4.666666666666667;14.65;valle
2023-08-01;20.5;65.66666666666667;1013.0666666666666;308.3333333333333;5.5;20.5;valle
2023-08-02;18.766666666666666;62.5;1011.0833333333334;235.0;6.166666666666667;18.766666666666666;valle
2023-08-03;15.450000000000001;32.666666666666664;1021.9833333333332;210.0;13.5;15.450000000000001;valle
2023-08-04;10.75;60.5;1019.5;240.0;5.166666666666667;10.75;valle
2023-08-05;13.833333333333334;59.833333333333336;1018.0166666666668;218.33333333333334;2.3333333333333335;13.833333333333334;valle
2023-08-06;14.300000000000002;68.83333333333333;1009.9833333333332;146.66666666666666;7.5;14.300000000000002;valle
2023-08-07;13.616666666666667;37.5;1024.05;188.33333333333334;8.5;13.616666666666667;valle
2023-08-08;9.483333333333334;53.833333333333336;1026.0;103.33333333333333;4.5;9.483333333333334;valle
2023-08-09;8.5;77.33333333333333;1019.2666666666668;245.0;5.5;8.5;valle
2023-08-10;13.966666666666667;74.66666666666667;1009.4666666666667;60.0;8.5;13.966666666666667;valle
